"","Journal","IsDafnee"
"798","Tree Genetics and Genomes","no"
"799","Tree Physiology","no"
"800","Trends in Ecology and Evolution","no"
"801","Trends in Genetics","no"
"802","Trends in Microbiology","no"
"803","Trends in Parasitology","no"
"804","Trends in Plant Science","no"
"805","Treubia","ok"
"806","Tropical Conservation Science","no"
"807","Tropical Ecology","ok"
"808","Tropical Medicine and Infectious Disease","ok"
"809","Tropical Medicine and International Health","ok"
"810","Turkish Journal of Fisheries and Aquatic Sciences","ok"
"811","Vector-Borne and Zoonotic Diseases","no"
"812","Vegetation History and Archaeobotany","ok"
"813","Veterinary Parasitology","no"
"814","Vie et Milieu - Life and environment","ok"
"815","Virologie","ok"
"816","Virus Evolution","no"
"817","Viruses","no"
"818","Water History","ok"
"819","Web Ecology","ok"
"820","Wellcome Open Research","ok"
"821","Wetland Science and Practice","ok"
"822","Wetlands","ok"
"823","Wildlife Biology","ok"
"824","Wildlife Research","ok"
"825","Wildlife Society Bulletin","ok"
"826","World Archaeology","no"
"827","World Journal of Microbiology & Biotechnology","no"
"828","Zookeys","no"
"829","Zoologia","ok"
"830","Zoologica Scripta","ok"
"831","Zoological Journal of the Linnean Society","ok"
"832","Zoological Science","ok"
"833","Zoological Studies","ok"
"834","Zoology","no"
"835","Zoomorphology","no"
"836","Zoosystema","ok"
"837","Zootaxa","no"
"838","Algorithms for molecular biology","no"
"839","Algorithms for molecular biology : AMB","no"
"840","Animals","no"
"841","Animals : an open access journal from MDPI","no"
"842","BioEssays","no"
"843","BioEssays : news and reviews in molecular, cellular and developmental biology","no"
"844","Bioinformatics","ok"
"845","Bioinformatics (Oxford, England)","no"
"846","BMC Biology","no"
"847","Journal of Biology","no"
"848","Chromosome Research","no"
"849","Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology","no"
"850","Comparative biochemistry and physiology","no"
"851","Comparative biochemistry and physiology. Part B, Biochemistry & molecular biology","no"
"852","Current biology","no"
"853","Current biology : CB","no"
"854","Diversity and Distributions","no"
"855","Diversity & distributions","no"
"856","European Journal of Human Genetics","ok"
"857","European journal of human genetics : EJHG","no"
"858","Experimental and Applied Acarology","no"
"859","Experimental & applied acarology","no"
"860","Evolutionary psychology","no"
"861","Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior","no"
"862","Genetics Research","no"
"863","Genetical Research","no"
"864","Global ecology and biogeography","no"
"865","Global ecology and biogeography : a journal of macroecology","no"
"866","Infection, genetics and evolution","no"
"867","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","no"
"868","International journal for parasitology: Parasites and wildlife","ok"
"869","International journal for parasitology. Parasites and wildlife","no"
"870","International Journal of Agricultural Research Innovation and Technology","ok"
"871","International Journal of Agricultural Research, Innovation and Technology","no"
"872","Journal of Biological Research Thessaloniki","ok"
"873","Journal of Biological Research - Thessaloniki","no"
"874","Journal of Geophysical Research Biogeosciences","no"
"875","Journal of Geophysical Research: Biogeosciences","ok"
"876","Journal of Experimental Biology","ok"
"877","The Journal of Experimental Biology","no"
"878","Journal of experimental zoology","ok"
"879","Journal of Experimental Zoology Part A: Ecological Genetics and Physiology","no"
"880","Journal of Experimental Zoology. Part A, Ecological Genetics and Physiology","no"
"881","Journal of experimental zoology. Part B, Molecular and developmental evolution","no"
"882","Journal of experimental zoology Part B: Molecular and developmental evolution","no"
"883","Lancet Infectious Diseases","no"
"884","The Lancet Infectious Diseases","no"
"885","The Lancet Planetary Health","no"
"886","Lancet Planetary Health","no"
"887","Mastozoología Neotropical","no"
"888","Mastozoologia Neotropical","ok"
"889","Medecine/Sciences","no"
"890","Medecine sciences : M/S","no"
"891","M S-MEDECINE SCIENCES","no"
"892","Methods in molecular biology","no"
"893","Methods in molecular biology (Clifton, N.J.)","no"
"894","Mitochondrial DNA","no"
"895","Mitochondrial DNA. Part A, DNA mapping, sequencing, and analysis","no"
"896","Nature Reviews Genetics","no"
"897","Nature reviews. Genetics","no"
"898","Palaeogeography, Palaeoclimatology, Palaeoecology","no"
"899","Palaeogeography Palaeoclimatology Palaeoecology","no"
"900","Palaontologische Zeitschrift","ok"
"901","Paläontologische Zeitschrift","no"
"902","Parasites and Vectors","no"
"903","Parasites & vectors","no"
"904","Plants","no"
"905","Plants (Basel, Switzerland)","no"
"906","Revue de Paleobiologie","ok"
"907","Revue de Paléobiologie","no"
"908","Science of Nature","no"
"909","The Science of Nature","no"
"910","Naturwissenschaften","no"
"911","Die naturwissenschaften","no"
"912","Science of the Total Environment","no"
"913","The Science of the total environment","no"
"914","The Holocene","no"
"915","HOLOCENE","no"
"916","Trends in ecology and evolution","no"
"917","Trends in ecology & evolution","no"
"918","Trends in genetics","no"
"919","Trends in genetics : TIG","no"
"920","Agriculture and Natural Resources","ok"
"921","Kasetsart Journal","ok"
"922","Alzheimer's & dementia","ok"
"923","Alzheimer's & dementia : the journal of the Alzheimer's Association","ok"
"924","Conservation biology","ok"
"925","Conservation biology : the journal of the Society for Conservation Biology","ok"
"926","Ecological Applications","ok"
"927","Ecological applications : a publication of the Ecological Society of America","ok"
"928","Evolution","ok"
"929","Evolution; international journal of organic evolution","ok"
"930","Estudos do Quaternario","ok"
"931","Quaternary Studies","ok"
"932","Evolution Medicine and Public Health","ok"
"933","Evolution, medicine, and public health","ok"
"934","G3 - Genes Genomes Genetics","ok"
"935","G3 (Bethesda, Md.)","ok"
"936","G3-GENES GENOMES GENETICS","ok"
"937","G3","ok"
"938","Géologues","ok"
"939","Geologues","ok"
"940","Ichthyology & Herpetology","ok"
"941","Copeia","ok"
"942","Journal of Animal Ecology","ok"
"943","The Journal of animal ecology","ok"
"944","Journal of Applied Ecology","ok"
"945","The Journal of applied ecology","ok"
"946","Journal of Eukaryotic Microbiology","ok"
"947","The Journal of eukaryotic microbiology","ok"
"948","Journal of experimental zoology","ok"
"949","Journal of experimental zoology. Part A, Ecological and integrative physiology","ok"
"950","Journal of heredity","ok"
"951","The Journal of heredity","ok"
"952","Journal of the Royal Society Interface","ok"
"953","Journal of the Royal Society, Interface","ok"
"954","Journal of Vegetation Science","ok"
"955","Journal of vegetation science : official organ of the International Association for Vegetation Science","ok"
"956","Microbiology Resource Announcements","ok"
"957","Genome Announcements","ok"
"958","New Phytologist","ok"
"959","The New phytologist","ok"
"960","Ornithological Applications","ok"
"961","The Condor","ok"
"962","Ornithology","ok"
"963","The Auk","ok"
"964","Philosophical Transactions of the Royal Society B","ok"
"965","Philosophical transactions of the Royal Society of London. Series B, Biological sciences","ok"
"966","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","ok"
"967","Plant Ecology and Diversity","ok"
"968","Botanical Journal of Scotland ","ok"
"969","Proceedings of the Royal Society B - Biological Sciences","ok"
"970","Proceedings. Biological sciences","ok"
"971","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","ok"
"972","Proceedings of the National Academy of Sciences of the USA","ok"
"973","Proceedings of the National Academy of Sciences of the United States of America","ok"
"974","Science","ok"
"975","Science (New York, N.Y.)","ok"
"976","The American Naturalist","ok"
"977","American Naturalist","ok"
"978","The Anatomical Record","ok"
"979","The Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology","ok"
"980","Anatomical record (Hoboken, N.J. : 2007)","ok"
"981","Virologie","ok"
"982","Virologie (Montrouge, France)","ok"
